row,tile,scope,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,raw_coverage,common_mask_frac
F_full,E-4_N40,tile,2037550,56,0.2379591197263128,0.17827650505117185,0.1949336076501649,0.059682614675140966,1.2207188005947291,0.9314765518247121,0.9314765518247121
F_resid,E-4_N40,tile,2037550,56,0.06403111348139282,0.07413078422700625,0.09415336299283483,-0.010099670745613437,0.6800725056020107,0.9314765518247121,0.9314765518247121
F_pfree,E-4_N40,tile,2037550,56,0.0960140437058553,0.09133638525836131,0.10782025174122847,0.0046776584474939875,0.8905010158600966,0.9314765518247121,0.9314765518247121
mosaic,E-4_N44,tile,2166509,29,0.2449756604435851,0.1548389887642169,0.18569166168914233,0.0901366716793682,1.3192604245940096,0.9999794280165728,0.9904308276200364
F_h1only,E-4_N44,tile,2166509,29,0.2906971590264084,0.19675050370489133,0.2302415499624244,0.09394665532151708,1.2625747137032843,0.9904404278789691,0.9904308276200364
F_full,E-4_N44,tile,2166509,29,0.07517106590567597,0.03873479305005713,0.05374920693451626,0.036436272855618845,1.3985520939361655,0.9904404278789691,0.9904308276200364
F_resid,E-4_N44,tile,2166509,29,0.16458101461837327,0.13050844634144831,0.16338514790477898,0.03407256827692495,1.0073193110201868,0.9904404278789691,0.9904308276200364
F_pfree,E-4_N44,tile,2166509,29,0.11670820920396367,0.08968109705197194,0.11747454649654487,0.02702711215199173,0.9934765673464103,0.9904404278789691,0.9904308276200364
mosaic,E0_N32,tile,2170246,62,0.1322020019604371,0.06029935648761351,0.07516432223601739,0.0719026454728236,1.7588398062756465,0.9999766850854491,0.9921392165548694
F_h1only,E0_N32,tile,2170246,62,0.12456134161499124,0.07413812298147057,0.09411449696018871,0.05042321863352067,1.3235085522231695,0.9921392165548694,0.9921392165548694
F_full,E0_N32,tile,2170246,62,0.23104475231823982,0.1251811293113157,0.14543010773457907,0.10586362300692412,1.5886995885330288,0.9921392165548694,0.9921392165548694
F_resid,E0_N32,tile,2170246,62,0.17379495435904824,0.14956968799289636,0.16990846080358152,0.024225266366151882,1.0228740436884989,0.9921392165548694,0.9921392165548694
F_pfree,E0_N32,tile,2170246,62,0.3666592681431039,0.3172851854447807,0.34231527320566957,0.04937408269832322,1.0711157136211331,0.9921392165548694,0.9921392165548694
mosaic,E0_N36,tile,2177450,74,0.25792286930270336,0.18441834792962966,0.21722573763575606,0.0735045213730737,1.1873494923294412,1.0,0.995432562523972
