arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
baseline,E-4_N32,938,0,219924,11,0.09669840092361712,0.02186632952292077,0.036676227864466504,0.07483207140069635,2.636541611666195
baseline,E-4_N32,938,469,219936,10,0.04909290740853962,0.01789379423190173,0.027753384138251517,0.031199113176637885,1.7688980617277799
baseline,E-4_N32,938,938,219929,11,0.030048317762146764,0.01602160713036208,0.023905011567223616,0.014026710631784685,1.2569882126033476
a1,E-4_N32,0,0,219923,14,0.12880294302648504,0.040648381879868474,0.05291396455539924,0.08815456114661657,2.4341956628789823
a1,E-4_N32,0,469,219942,9,0.027271262967468575,0.0022801694074182904,0.004552962601870696,0.024991093560050283,5.989784092727559
a1,E-4_N32,0,938,219934,12,0.12344274051384685,0.05592007352272392,0.07775682664204123,0.06752266699112293,1.5875485901980515
a1,E-4_N32,469,0,219930,9,0.06042307624402136,0.012438522992979022,0.018887329139558175,0.04798455325104234,3.1991329106172826
a1,E-4_N32,469,469,219923,12,0.11678263685134123,0.06282087875593664,0.09163859662751382,0.053961758095404586,1.2743826416944286
a1,E-4_N32,469,938,219922,11,0.06063683909137465,0.023205138436734954,0.042204571254537485,0.037431700654639695,1.4367362891965283
a1,E-4_N32,938,0,219924,11,0.03610963305225902,0.012037673393205866,0.01775532417541337,0.024071959659053153,2.0337354978999325
a1,E-4_N32,938,469,219936,10,0.04112929232174041,0.023224682440222844,0.030126608835852452,0.017904609881517566,1.3652148021649921
a1,E-4_N32,938,938,219929,11,0.020612428759263616,0.03074970608280182,0.047686019260131364,-0.010137277323538203,0.43225308128197976
baseline,E-4_N36,0,0,219930,20,0.08995771447275314,0.03167749508969165,0.054312709554904796,0.058280219383061486,1.6562921498478134
baseline,E-4_N36,0,469,219945,10,0.05366928755208693,0.02528687988729651,0.045502160106001506,0.02838240766479042,1.179488785302925
baseline,E-4_N36,0,938,219938,11,0.04559903732404433,0.008322629446990682,0.014649447462526546,0.03727640787705365,3.112679672095974
baseline,E-4_N36,469,0,218763,11,0.15835500818804285,0.03591367792033708,0.06398302178071634,0.12244133026770576,2.474953570194914
baseline,E-4_N36,469,469,219938,11,0.07618819299876588,0.01727203492066646,0.02877022576224524,0.05891615807809942,2.6481611103221363
baseline,E-4_N36,469,938,219949,9,0.15194828373791922,0.07040550924831461,0.09372660370990998,0.0815427744896046,1.6211862771450587
baseline,E-4_N36,938,0,219951,5,0.2043379564946689,0.06192829320983327,0.09964232602636133,0.14240966328483562,2.0507144367606327
baseline,E-4_N36,938,469,219945,8,0.1262578308924388,0.04107213726932533,0.05980881834427443,0.08518569362311348,2.1110236648660625
baseline,E-4_N36,938,938,219944,12,0.1031924292845285,0.042054081938297315,0.07759965200766404,0.061138347346231185,1.3298053098786682
a1,E-4_N36,0,0,219930,20,0.14228980418707596,0.05311497293215115,0.09026367114029746,0.08917483125492481,1.5763795377424203
a1,E-4_N36,0,469,219945,10,0.0862120966565809,0.008907937965595407,0.014488936380244136,0.0773041586909855,5.950201891571026
a1,E-4_N36,0,938,219938,11,0.030414911614115327,0.012899191094573163,0.02010695118217036,0.017515720519542165,1.512656560338469
a1,E-4_N36,469,0,218763,11,0.17164541705204456,0.04993702438755277,0.07917629700973561,0.1217083926644918,2.167888920480063
a1,E-4_N36,469,469,219938,11,0.010083345089880905,0.010861952006959153,0.018770176410920932,-0.0007786069170782478,0.5372003368073929
a1,E-4_N36,469,938,219949,9,0.17876592949225842,0.0810292217631343,0.11322917239192014,0.09773670772912411,1.5787974575447385
a1,E-4_N36,938,0,219951,5,0.26279853050914875,0.043149377977583586,0.09019273454423134,0.21964915253156517,2.913743904507851
a1,E-4_N36,938,469,219945,8,0.014563049695692696,0.012584450403062922,0.020723122272294097,0.001978599292629774,0.7027439931270807
a1,E-4_N36,938,938,219944,12,0.09716834805914502,0.04518277177976525,0.07509143946809742,0.051985576279379775,1.2940003380868332
baseline,E-4_N40,0,0,219942,8,0.18219955951821756,0.04951212507879478,0.08281976259451432,0.13268743443942277,2.199952690160039
baseline,E-4_N40,0,469,219946,8,0.01160421687378796,0.0074602511977010745,0.014200047242301436,0.004143965676086885,0.8171956526468032
baseline,E-4_N40,0,938,219946,8,0.047788101927017386,0.03686396588757075,0.05078454575522419,0.010924136039446634,0.940996935511655
baseline,E-4_N40,469,0,219943,7,0.044801839749481126,0.014510406424198685,0.028279896558448477,0.03029143332528244,1.5842292653682568
baseline,E-4_N40,469,469,219928,10,0.06915844509669117,0.021981553089146497,0.03442920707413496,0.04717689200754467,2.008714430970635
baseline,E-4_N40,469,938,219933,13,0.172382525323438,0.0489328904531562,0.0641294453943421,0.12344963487028181,2.688040170368395
baseline,E-4_N40,938,0,219926,16,0.2140663412066287,0.09832957124732071,0.14230535140742462,0.115736769959308,1.5042747099070797
baseline,E-4_N40,938,469,219929,17,0.20048664146253106,0.08102941827210118,0.1255455098497891,0.11945722319042988,1.5969240294010232
baseline,E-4_N40,938,938,219944,11,0.5315568033933087,0.13548416418330772,0.1909115795617305,0.39607263921000097,2.784308864939394
a1,E-4_N40,0,0,219942,8,0.30701728683751206,0.09304673398709537,0.13171436368838763,0.2139705528504167,2.3309324681084855
a1,E-4_N40,0,469,219946,8,0.02023909640886388,0.007772839189602814,0.011243259786407042,0.012466257219261066,1.8001092915537438
a1,E-4_N40,0,938,219946,8,0.03361580359292606,0.018827114442193742,0.026101963516469012,0.01478868915073232,1.2878649367399582
a1,E-4_N40,469,0,219943,7,0.03734876315461908,0.01576461039200922,0.021776220511677245,0.021584152762609863,1.7151168695500325
a1,E-4_N40,469,469,219928,10,0.0443154976972623,0.021960863986648486,0.029128682990233867,0.022354633710613813,1.5213697684897116
a1,E-4_N40,469,938,219933,13,0.06378047060729285,0.01786304741703756,0.03134605274971462,0.04591742319025528,2.034720962047558
a1,E-4_N40,938,0,219926,16,0.049672335469605096,0.02414305196729844,0.04081163581995112,0.025529283502306654,1.2171120924616883
a1,E-4_N40,938,469,219929,17,0.050970322963175975,0.03198132761344838,0.04818850629652833,0.018988995349727596,1.0577278044172964
a1,E-4_N40,938,938,219944,11,0.11963316862047373,0.06121857946497089,0.11795501906843535,0.058414589155502836,1.014227029636312
baseline,E-4_N44,0,0,219259,5,0.1725605745458191,0.06170973707136836,0.07820722097647934,0.11085083747445074,2.2064532199362556
baseline,E-4_N44,0,469,219953,5,0.022122314558121563,0.013337594235982192,0.023466744831157498,0.008784720322139372,0.9427091280572116
baseline,E-4_N44,0,938,219941,11,0.160372721466979,0.06522567704447416,0.11583522965087377,0.09514704442250485,1.3844900377056342
baseline,E-4_N44,469,0,219952,7,0.10501091384391112,0.034442113829350016,0.046843806052324,0.0705688000145611,2.241724631141524
baseline,E-4_N44,469,469,219952,4,0.11413303343541308,0.02880174808757332,0.05334624451088975,0.08533128534783976,2.1394764426597024
