tile,variant,n_finite,coverage,prob_mean,rich_share_at_0p5,abundance_mean,abundance_saturated_frac,overlap_dp_median,partition_coverage,mean_n_frames,max_n_frames
E0_N44,pfree,2130442,0.973942611480721,0.5850843787193298,0.5989029506553101,0.02019911475072637,2.8163169896199944e-06,0.16124042868614197,0.9332443709338903,1.5845547914505005,7
E4_N32,h1only,2170585,0.9922941921633543,0.29363277554512024,0.1804421388703967,0.004744039963306448,0.0,0.18534597754478455,0.9820091147601239,2.3815252780914307,10
E4_N32,full,2170585,0.9922941921633543,0.696223795413971,0.7698316352504049,0.024250496763624008,0.0,0.1509244441986084,0.9820091147601239,2.3815252780914307,10
E4_N32,resid,2170585,0.9922941921633543,0.32871532440185547,0.23153113100846084,0.005791777073352865,0.0,0.18351756036281586,0.9820091147601239,2.3815252780914307,10
E4_N32,pfree,2170585,0.9922941921633543,0.2883913218975067,0.1775843839333636,0.004611323698865878,0.0,0.16980013251304626,0.9820091147601239,2.3815252780914307,10
E4_N36,h1only,2154238,0.9848210763170298,0.41149264574050903,0.3427847805117169,0.008857568244541631,0.0,0.3731094002723694,0.9075874503586611,3.4556753635406494,10
E4_N36,full,2154238,0.9848210763170298,0.8456477522850037,0.9376503431839937,0.03831953299378953,9.284025256262308e-07,0.15101706981658936,0.9075874503586611,3.4556753635406494,10
E4_N36,resid,2154238,0.9848210763170298,0.3798079192638397,0.2970419238728497,0.0071614325142936525,0.0,0.33629417419433594,0.9075874503586611,3.4556753635406494,10
E4_N36,pfree,2154238,0.9848210763170298,0.39620569348335266,0.324200018753731,0.007746425833258307,0.0,0.3394102156162262,0.9075874503586611,3.4556753635406494,10
E4_N40,h1only,2187441,1.0,0.436673104763031,0.379584637939949,0.010482302143245477,0.0,0.4609716534614563,0.9957420565857548,3.5894408226013184,19
E4_N40,full,2187441,1.0,0.9369341731071472,0.9949616926810826,0.05671611424535591,0.0065199472808638035,0.10341238975524902,0.9957420565857548,3.5894408226013184,19
E4_N40,resid,2187441,1.0,0.43775197863578796,0.3759955125646817,0.01027165720815286,0.0,0.4245995879173279,0.9957420565857548,3.5894408226013184,19
E4_N40,pfree,2187441,1.0,0.523760974407196,0.5054248320297553,0.013997892525471262,0.0,0.42949017882347107,0.9957420565857548,3.5894408226013184,19
E4_N44,h1only,2187441,1.0,0.5183885097503662,0.5235802931370492,0.015370400427965912,0.0,0.47806233167648315,0.9996671910236664,3.62809419631958,20
E4_N44,full,2187441,1.0,0.9590914845466614,0.9957114271882076,0.06937563456101795,0.004245143069001632,0.03592357039451599,0.9996671910236664,3.62809419631958,20
E4_N44,resid,2187441,1.0,0.449585497379303,0.4299745684569321,0.011264264251687875,0.0,0.3933969736099243,0.9996671910236664,3.62809419631958,20
E4_N44,pfree,2187441,1.0,0.6097880005836487,0.6580771778530256,0.019250226066905816,0.0,0.3585853576660156,0.9996671910236664,3.62809419631958,20
E8_N32,h1only,2184680,0.9987377945279439,0.36075976490974426,0.26290211838804767,0.006400064472564673,0.0,0.22985994815826416,0.9942096723980213,2.995342493057251,8
E8_N32,full,2184680,0.9987377945279439,0.8827759623527527,0.9795910613911419,0.040103978348010966,0.0,0.08673977851867676,0.9942096723980213,2.995342493057251,8
E8_N32,resid,2184680,0.9987377945279439,0.1391444206237793,0.03641814819561675,0.0014696605523805506,0.0,0.09952834993600845,0.9942096723980213,2.995342493057251,8
E8_N32,pfree,2184680,0.9987377945279439,0.19297057390213013,0.06271444788252742,0.002356976798708529,0.0,0.13946901261806488,0.9942096723980213,2.995342493057251,8
E8_N36,h1only,2187441,1.0,0.5842936038970947,0.6234773875043944,0.01613103248962612,0.0,0.35411545634269714,0.9583440193358358,3.6931066513061523,10
E8_N36,full,2187441,1.0,0.9600016474723816,0.9986326488348715,0.06119805237861581,3.1086552734450895e-05,0.039764225482940674,0.9583440193358358,3.6931066513061523,10
E8_N36,resid,2187441,1.0,0.2361651510000229,0.15992111330088446,0.0038121645966226335,0.0,0.23412716388702393,0.9583440193358358,3.6931066513061523,10
E8_N36,pfree,2187441,1.0,0.3539043962955475,0.2968560066305788,0.007286735183385889,0.0,0.29774612188339233,0.9583440193358358,3.6931066513061523,10
E8_N40,h1only,2187441,1.0,0.4847061038017273,0.4455411597387084,0.01329604193182822,0.0,0.4373228847980499,0.9998130235284061,3.3749120235443115,10
E8_N40,full,2187441,1.0,0.984509289264679,0.9999227407733512,0.08659190688416697,0.012083525909955971,0.014732778072357178,0.9998130235284061,3.3749120235443115,10
E8_N40,resid,2187441,1.0,0.2897248864173889,0.21547964036515727,0.006228963101694367,0.0,0.2919817566871643,0.9998130235284061,3.3749120235443115,10
E8_N40,pfree,2187441,1.0,0.3745456039905548,0.32144226975721857,0.010074769507330666,0.0,0.3117673099040985,0.9998130235284061,3.3749120235443115,10
E8_N44,h1only,2187441,1.0,0.3557623326778412,0.2892553444870056,0.007793764270707952,0.0,0.35180842876434326,0.9815880748326469,2.4530982971191406,7
E8_N44,full,2187441,1.0,0.9854389429092407,0.9999716563783891,0.08596874365057638,0.011516653477739515,0.010223746299743652,0.9815880748326469,2.4530982971191406,7
E8_N44,resid,2187441,1.0,0.1950007677078247,0.12120189755975133,0.0033226667120239014,0.0,0.14875462651252747,0.9815880748326469,2.4530982971191406,7
E8_N44,pfree,2187441,1.0,0.26422232389450073,0.203191766086491,0.005862905797107486,0.0,0.1779213547706604,0.9815880748326469,2.4530982971191406,7
E12_N44,h1only,2187441,1.0,0.5051060914993286,0.4950670669517486,0.014712539960677222,0.0,0.5039348602294922,0.9996507334369247,5.057525157928467,21
E12_N44,full,2187441,1.0,0.9994488954544067,1.0,0.24302868338792807,0.6367906608681103,0.00015753507614135742,0.9996507334369247,5.057525157928467,21
E12_N44,resid,2187441,1.0,0.49277517199516296,0.4785697077086879,0.015007234667292379,4.571551872713367e-07,0.3796396255493164,0.9996507334369247,5.057525157928467,21
E12_N44,pfree,2187441,1.0,0.37194398045539856,0.32313831550199523,0.009811141592582714,0.0,0.3427125811576843,0.9996507334369247,5.057525157928467,21
E16_N44,h1only,2072435,0.9474244105326727,0.5642174482345581,0.5656983210571139,0.01949869851305967,0.0,0.25432270765304565,0.8912414094825872,2.032318115234375,7
E16_N44,full,2072435,0.9474244105326727,0.9999986290931702,1.0,0.29310114261973513,0.9973823063208255,5.960464477539063e-08,0.8912414094825872,2.032318115234375,7
E16_N44,resid,2072435,0.9474244105326727,0.9281177520751953,0.9680597943964467,0.06937267516600538,0.008544055663989462,0.019679784774780273,0.8912414094825872,2.032318115234375,7
E16_N44,pfree,2072435,0.9474244105326727,0.539813220500946,0.5527107002149645,0.018147574518995842,0.0,0.22128348052501678,0.8912414094825872,2.032318115234375,7
